Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Composite breakdown,Source details,Observation-level footnotes,COMMENT_OBS,Value
2019,C,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 4,Lower secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,1.04485
2005,C,Zimbabwe DHS 2005-06. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 4,Upper secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,,0.41273
2010,C,Zimbabwe DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 4,Upper secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,,0.79172
2015,C,Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 4,Upper secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,,0.69972
2019,C,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 4,Upper secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,,0.58152
2005,C,Zimbabwe DHS 2005-06. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Primary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,0.97802
2010,C,Zimbabwe DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Primary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,1.01623
2015,C,Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Primary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,1.00135
2019,C,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Primary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,1.0121
2005,C,Zimbabwe DHS 2005-06. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Lower secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,0.92718
2010,C,Zimbabwe DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Lower secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,0.99681
2015,C,Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Lower secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,0.97925
2019,C,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Lower secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,0.94469
2005,C,Zimbabwe DHS 2005-06. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Upper secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,0.53071
2010,C,Zimbabwe DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Upper secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,0.72563
2015,C,Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Upper secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,0.83372
2019,C,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Upper secondary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,0.65727
2005,C,Zimbabwe DHS 2005-06. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Primary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,1.03251
2010,C,Zimbabwe DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Primary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,1.07035
2012,C,Zimbabwe IPUMS-Intertiol 2012. The census collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Primary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,1.08829
2015,C,Zimbabwe DHS 2015. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Primary education,,Zimbabwe MICS 2019. The survey collected data on school attendance for age 3-24 and educatiol attainment for age 3 and above.; Data extracted on 01 April 2022.,,,1.01835
